Employer Name,Employer Industry,Website,Division,Employment Types,Jobs on Handshake,Job Titles,Majors,Major Groups,Combined Majors,Job Types,School Years,US work authorization required?,Accepts OPT/CPT candidates?,Willing to sponsor candidate?
"Gerding Builders, LLC",Construction,http://www.gerdingbuilders.com,,"Full-Time, Part-Time",,Project Engineer,,,,Job,"Freshman, Sophomore, Junior, Senior",TRUE,FALSE,FALSE
Granite,Construction,https://www.graniteconstruction.com,Granite Construction - Washington Region,"Full-Time, Part-Time",,None,,,,"Job, Internship",,TRUE,FALSE,FALSE
"Great West Engineering, Inc.",Civil Engineering,http://www.greatwesteng.com,,Full-Time,,Engineering and Interns,Civil Engineering,"Biomedical Engineering, Civil/Environmental Engineering, Computer Engineering, Construction Engineering, Electrical Engineering, General Engineering, Materials Science & Engineering, Mechanical Engineering","Biomedical Engineering, Civil Engineering, Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS, Computer Engineering, MEngr, Computer Engineering, MS, Computer Systems Engr BS, Construction Management, Construction Mgmt BS, Electrical & Computer Engr MS, Electrical&Computer Engr, PhD, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS, Engineering, Engineering Bs, Engineering Undeclared, Materials Science & Engr, Materials Science & Engr BS, Materials Science & Engr, MS, Materials Science & Engr, PhD, Materials Sci & Engr, MEngr, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Pre-Engineering, Pre-Mechanical Engineering","Job, Internship","Junior, Senior",TRUE,TRUE,FALSE
"GSE Construction Company, Inc.",Construction,http://www.gseconstruction.com,,Full-Time,,Project Engineer,,"Civil/Environmental Engineering, Construction Engineering, General Engineering, Mechanical Engineering","Civil Engineering, Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS, Computer Engineering, MEngr, Computer Engineering, MS, Construction Management, Construction Mgmt BS, Electrical & Computer Engr MS, Electrical&Computer Engr, PhD, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS, Engineering, Engineering Bs, Engineering Undeclared, Materials Science & Engr BS, Materials Science & Engr, MS, Materials Science & Engr, PhD, Materials Sci & Engr, MEngr, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Pre-Engineering, Pre-Mechanical Engineering","Job, Internship","Freshman, Sophomore, Junior, Senior",TRUE,TRUE,TRUE
Hamilton Construction Co.,Construction,http://www.hamil.com,,,,None,,"Civil/Environmental Engineering, Construction Engineering, General Engineering, Mechanical Engineering","Civil Engineering, Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS, Computer Engineering, MEngr, Computer Engineering, MS, Construction Management, Construction Mgmt BS, Electrical & Computer Engr MS, Electrical&Computer Engr, PhD, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS, Engineering, Engineering Bs, Engineering Undeclared, Materials Science & Engr BS, Materials Science & Engr, MS, Materials Science & Engr, PhD, Materials Sci & Engr, MEngr, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Pre-Engineering, Pre-Mechanical Engineering","Job, Internship","Freshman, Sophomore, Junior, Senior, Masters",TRUE,TRUE,TRUE
Harder Mechanical Contractors,Construction,http://www.harder.com,,Full-Time,"Field Engineer -- Recent Graduates, Field Engineer -- Recent Graduates, Field Engineer -- Recent Graduates","Field Engineer -- Recent Graduates, Field Engineer -- Recent Graduates, Field Engineer -- Recent Graduates","Civil Engineering, Civil Engineering BS, Construction Management, Construction Mgmt BS, Mechanical Engineering, Mechanical Engineering BS","Civil/Environmental Engineering, Construction Engineering, General Engineering, Mechanical Engineering","Civil Engineering, Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS, Computer Engineering, MEngr, Computer Engineering, MS, Construction Management, Construction Mgmt BS, Electrical & Computer Engr MS, Electrical&Computer Engr, PhD, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS, Engineering, Engineering Bs, Engineering Undeclared, Materials Science & Engr BS, Materials Science & Engr, MS, Materials Science & Engr, PhD, Materials Sci & Engr, MEngr, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Pre-Engineering, Pre-Mechanical Engineering","Job, Internship","Sophomore, Junior, Senior, Masters",TRUE,FALSE,FALSE
Hargis Engineers,Engineering & Construction,https://cm.hargis.biz/interns/,,Full-Time,,Designer - Entry Level,,"Electrical Engineering, Mechanical Engineering","Electrical & Computer Engr MS, Electrical&Computer Engr, PhD, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Pre-Mechanical Engineering",Internship,Junior,TRUE,FALSE,FALSE
Harris,Construction,https://www.harriscompany.com/,,Full-Time,"Building Automation Intern, Project Management Rotational Program","Building Automation Intern, Project Management Rotational Program",,"Construction Engineering, Electrical Engineering, Mechanical Engineering","Construction Management, Construction Mgmt BS, Electrical & Computer Engr MS, Electrical&Computer Engr, PhD, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Pre-Mechanical Engineering","Job, Internship","Sophomore, Junior, Senior, Masters, Alumni",TRUE,FALSE,FALSE
"HDR, Inc.",Design,https://www.hdrinc.com,"Power, Water, Transportation ","Full-Time, Part-Time",,"Engineering Interns, Entry-Level Engineers, Project Engineers, Professional Engineers",,,,"Job, Internship","Junior, Senior, Masters, Doctorate, Postdoctoral Studies, Alumni",TRUE,TRUE,TRUE
Hill & Peterson AFB Civilian Engineering,Engineering & Construction,https://afciviliancareers.com/,,Full-Time,,None,,"Biomedical Engineering, Civil/Environmental Engineering, Computer Engineering, Computer Programming, Computer Science, Computer Systems Networking & Telecommunications, Construction Engineering, Cyber Security, Data Science, Electrical Engineering, General Engineering, Information Systems Management, Materials Science & Engineering, Mechanical Engineering, Software Design","Artificial Intelligence Sci BS, Biomedical Engineering, Civil Engineering, Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS, Computer Engineering, MEngr, Computer Engineering, MS, Computer Science BS, Computer Science, MS, Computer Systems Engr BS, Computing PhD, Construction Management, Construction Mgmt BS, Cyber Analyst GR Cert-Onl, Cyber Operations BAS-Online, Cyber Operations BS-Online, Cyber Operations MS-Online, Cyber Operations & Resilience, Cyber Resilience GR Cert-Onl, Cybersecurity MS, Data Science MS, Electrical & Computer Engr MS, Electrical&Computer Engr, PhD, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS, Engineering, Engineering Bs, Engineering Undeclared, Information Tech Mgmt BBA, Information Technology Mgmt BS, Materials Science & Engr, Materials Science & Engr BS, Materials Science & Engr, MS, Materials Science & Engr, PhD, Materials Sci & Engr, MEngr, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Pre-Engineering, Pre-Mechanical Engineering","Job, Internship","Junior, Senior, Masters, Doctorate, Postdoctoral Studies, Alumni",TRUE,FALSE,FALSE
